metric,winner,loser,delta
mfe,-12.800000190734863,-12.5,-0.3000001907348633
mfe,-12.800000190734863,-9.5,-3.3000001907348633
mfe,-12.800000190734863,-10.399999618530273,-2.40000057220459
mfe,-11.399999618530273,-9.5,-1.8999996185302734
mfe,-11.399999618530273,-10.399999618530273,-1.0
mfe,-30.600000381469727,-11.100000381469727,-19.5
mfe,-30.600000381469727,-24.299999237060547,-6.30000114440918
mfe,-30.600000381469727,-18.899999618530273,-11.700000762939453
mfe,-22.5,-20.700000762939453,-1.7999992370605469
mfe,-21.600000381469727,-20.700000762939453,-0.8999996185302734
mfe,-24.600000381469727,-24.5,-0.10000038146972656
mfe,-24.600000381469727,-20.700000762939453,-3.8999996185302734
mfe,-31.899999618530273,-24.5,-7.399999618530273
mfe,-31.899999618530273,-20.700000762939453,-11.19999885559082
mfe,-31.899999618530273,-26.299999237060547,-5.600000381469727
mfe,-27.100000381469727,-24.5,-2.6000003814697266
mfe,-27.100000381469727,-20.700000762939453,-6.399999618530273
mfe,-27.100000381469727,-26.299999237060547,-0.8000011444091797
mfe,-45.099998474121094,-39.099998474121094,-6.0
mfe,-45.099998474121094,-23.299999237060547,-21.799999237060547
mfe,-35.20000076293945,-23.299999237060547,-11.900001525878906
mfe,-41.099998474121094,-39.099998474121094,-2.0
mfe,-41.099998474121094,-23.299999237060547,-17.799999237060547
mfe,-34.79999923706055,-23.299999237060547,-11.5
mfe,-40.20000076293945,-39.099998474121094,-1.1000022888183594
mfe,-40.20000076293945,-23.299999237060547,-16.900001525878906
mfe,-39.599998474121094,-39.099998474121094,-0.5
mfe,-39.599998474121094,-23.299999237060547,-16.299999237060547
mfe,-47.79999923706055,-45.099998474121094,-2.700000762939453
mfe,-47.79999923706055,-39.099998474121094,-8.700000762939453
mfe,-47.79999923706055,-47.099998474121094,-0.7000007629394531
mfe,-47.79999923706055,-23.299999237060547,-24.5
mfe,-47.79999923706055,-34.79999923706055,-13.0
mfe,-35.599998474121094,-33.599998474121094,-2.0
mfe,-47.900001525878906,-45.70000076293945,-2.200000762939453
mfe,-47.900001525878906,-33.599998474121094,-14.300003051757812
mfe,-49.900001525878906,-45.70000076293945,-4.200000762939453
mfe,-49.900001525878906,-33.599998474121094,-16.300003051757812
mfe,-45.0,-33.599998474121094,-11.400001525878906
mfe,-42.900001525878906,-33.599998474121094,-9.300003051757812
mfe,-46.79999923706055,-45.70000076293945,-1.0999984741210938
mfe,-46.79999923706055,-33.599998474121094,-13.200000762939453
mfe,-34.20000076293945,-28.399999618530273,-5.80000114440918
mfe,-34.20000076293945,-26.799999237060547,-7.400001525878906
mfe,-42.70000076293945,-40.20000076293945,-2.5
mfe,-42.70000076293945,-28.399999618530273,-14.30000114440918
mfe,-42.70000076293945,-26.799999237060547,-15.900001525878906
mfe,-42.70000076293945,-39.0,-3.700000762939453
mfe,-46.29999923706055,-40.20000076293945,-6.099998474121094
mfe,-46.29999923706055,-26.799999237060547,-19.5
mfe,-46.29999923706055,-39.0,-7.299999237060547
mfe,-39.79999923706055,-28.399999618530273,-11.399999618530273
mfe,-39.79999923706055,-26.799999237060547,-13.0
mfe,-39.79999923706055,-39.0,-0.7999992370605469
mfe,-34.70000076293945,-32.79999923706055,-1.9000015258789062
mfe,-34.70000076293945,-29.799999237060547,-4.900001525878906
mfe,-34.70000076293945,-29.700000762939453,-5.0
mfe,-33.400001525878906,-32.79999923706055,-0.6000022888183594
mfe,-33.400001525878906,-29.799999237060547,-3.6000022888183594
mfe,-33.400001525878906,-29.700000762939453,-3.700000762939453
mfe,-32.20000076293945,-29.700000762939453,-2.5
mfe,-6.400000095367432,0.0,-6.400000095367432
mfe,-6.400000095367432,-0.10000000149011612,-6.3000000938773155
mfe,-6.400000095367432,-2.9000000953674316,-3.5
mfe,-4.400000095367432,0.0,-4.400000095367432
mfe,-4.400000095367432,-0.10000000149011612,-4.3000000938773155
mfe,-3.9000000953674316,0.0,-3.9000000953674316
mfe,-3.9000000953674316,-0.10000000149011612,-3.8000000938773155
mfe,-5.599999904632568,0.0,-5.599999904632568
mfe,-5.599999904632568,-0.10000000149011612,-5.499999903142452
mfe,-5.599999904632568,-2.9000000953674316,-2.6999998092651367
mfe,-1.899999976158142,0.0,-1.899999976158142
mfe,-1.899999976158142,-0.10000000149011612,-1.799999974668026
mfe,-36.099998474121094,-33.20000076293945,-2.8999977111816406
mfe,-36.099998474121094,-35.5,-0.5999984741210938
mfe,-36.099998474121094,-33.400001525878906,-2.6999969482421875
mfe,-47.79999923706055,-36.099998474121094,-11.700000762939453
mfe,-47.79999923706055,-33.20000076293945,-14.599998474121094
mfe,-47.79999923706055,-35.5,-12.299999237060547
mfe,-47.79999923706055,-37.79999923706055,-10.0
mfe,-47.79999923706055,-33.400001525878906,-14.39999771118164
mfe,-47.79999923706055,-41.599998474121094,-6.200000762939453
mfe,-47.79999923706055,-29.899999618530273,-17.899999618530273
mfe,-43.70000076293945,-35.5,-8.200000762939453
mfe,-43.70000076293945,-37.79999923706055,-5.900001525878906
mfe,-43.70000076293945,-33.400001525878906,-10.299999237060547
mfe,-43.70000076293945,-41.599998474121094,-2.1000022888183594
mfe,-55.5,-38.20000076293945,-17.299999237060547
mfe,-55.5,-30.799999237060547,-24.700000762939453
mfe,-55.5,-40.599998474121094,-14.900001525878906
mfe,-55.5,-31.600000381469727,-23.899999618530273
mfe,-55.5,-51.5,-4.0
mfe,-55.5,-37.599998474121094,-17.900001525878906
mfe,-42.099998474121094,-38.20000076293945,-3.8999977111816406
mfe,-42.099998474121094,-30.799999237060547,-11.299999237060547
mfe,-42.099998474121094,-40.599998474121094,-1.5
mfe,-42.099998474121094,-31.600000381469727,-10.499998092651367
mfe,-42.099998474121094,-37.599998474121094,-4.5
mfe,-41.400001525878906,-38.20000076293945,-3.200000762939453
mfe,-41.400001525878906,-30.799999237060547,-10.60000228881836
mfe,-41.400001525878906,-40.599998474121094,-0.8000030517578125
mfe,-41.400001525878906,-31.600000381469727,-9.80000114440918
mfe,-41.400001525878906,-37.599998474121094,-3.8000030517578125
mfe,-35.29999923706055,-34.0,-1.2999992370605469
mfe,-35.29999923706055,-29.899999618530273,-5.399999618530273
mfe,-35.29999923706055,-29.200000762939453,-6.099998474121094
mfe,-31.299999237060547,-29.899999618530273,-1.3999996185302734
mfe,-31.299999237060547,-29.200000762939453,-2.0999984741210938
mfe,-38.29999923706055,-37.20000076293945,-1.0999984741210938
mfe,-49.900001525878906,-37.20000076293945,-12.700000762939453
mfe,-49.900001525878906,-43.599998474121094,-6.3000030517578125
mfe,-49.900001525878906,-38.400001525878906,-11.5
mfe,-49.900001525878906,-41.79999923706055,-8.10000228881836
mfe,-43.599998474121094,-37.20000076293945,-6.399997711181641
mfe,-43.599998474121094,-41.79999923706055,-1.7999992370605469
mfe,-38.400001525878906,-37.20000076293945,-1.2000007629394531
mfe,-43.79999923706055,-37.20000076293945,-6.599998474121094
mfe,-43.79999923706055,-41.79999923706055,-2.0
mfe,-44.29999923706055,-37.20000076293945,-7.099998474121094
mfe,-44.29999923706055,-41.79999923706055,-2.5
mfe,-30.700000762939453,-15.600000381469727,-15.100000381469727
mfe,-30.700000762939453,-16.200000762939453,-14.5
mfe,-30.700000762939453,-18.799999237060547,-11.900001525878906
mfe,-30.700000762939453,-12.5,-18.200000762939453
mfe,-30.700000762939453,-22.600000381469727,-8.100000381469727
mfe,-30.700000762939453,-22.100000381469727,-8.600000381469727
mfe,-30.700000762939453,-17.100000381469727,-13.600000381469727
mfe,-25.399999618530273,-15.600000381469727,-9.799999237060547
mfe,-25.399999618530273,-16.200000762939453,-9.19999885559082
mfe,-25.399999618530273,-18.799999237060547,-6.600000381469727
mfe,-25.399999618530273,-12.5,-12.899999618530273
mfe,-25.399999618530273,-22.600000381469727,-2.799999237060547
mfe,-25.399999618530273,-22.100000381469727,-3.299999237060547
mfe,-25.399999618530273,-17.100000381469727,-8.299999237060547
mfe,-24.200000762939453,-15.600000381469727,-8.600000381469727
